player,position,team,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
Nemanja Maksimović,MF,Serbia,27-319,1995,1.4,57,55,2,2,0,0,2,0,0,0,0,0,50,0,1
Nemanja Radonjić,DF,Serbia,26-299,1996,0.7,24,20,4,0,0,0,6,4,0,0,0,0,15,0,1
Neymar,MF,Brazil,30-309,1992,3.1,153,131,22,8,2,0,8,3,9,6,1,0,121,0,5
Niclas Füllkrug,FW,Germany,29-305,1993,0.8,24,21,3,0,0,1,0,0,0,0,0,0,15,0,2
Nico Elvedi,DF,Switzerland,26-072,1996,2.0,142,139,3,3,0,0,0,0,0,0,0,0,131,0,3
Nico Schlotterbeck,DF,Germany,23-010,1999,1.0,123,116,6,2,0,2,0,4,0,0,0,0,110,1,1
Nico Williams,FW,Spain,20-152,2002,1.6,63,60,2,0,1,0,6,2,0,0,0,0,50,1,2
Nicola Zalewski,MF,Poland,20-322,2002,0.7,17,16,1,1,0,0,1,0,0,0,0,0,15,0,0
Nicolas Jackson,FW,Senegal,21-174,2001,0.2,10,10,0,0,0,0,0,0,0,0,0,0,9,0,0
Nicolas Nkoulou,DF,Cameroon,32-259,1990,2.0,91,89,1,1,0,0,0,0,0,0,0,0,79,1,0
Nicolás De La Cruz,MF,Uruguay,25-193,1997,0.4,25,21,3,2,0,0,1,0,1,1,0,0,20,1,1
Nicolás Otamendi,DF,Argentina,34-302,1988,5.3,464,452,12,10,0,0,0,2,0,0,0,0,427,0,0
Nicolás Tagliafico,DF,Argentina,30-102,1992,1.8,96,73,22,4,0,0,0,18,0,0,0,0,82,1,2
Niklas Süle,DF,Germany,27-099,1995,3.0,255,239,16,6,0,3,1,10,0,0,0,0,231,0,1
Nikola Milenković,DF,Serbia,25-060,1997,3.0,163,160,3,1,0,1,1,2,0,0,0,0,141,0,3
Nikola Vlašić,FW,Croatia,25-068,1997,1.5,35,35,0,0,0,0,2,0,0,0,0,0,30,0,1
Noa Lang,MF,Netherlands,23-177,1999,0.1,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0
Noah Okafor,FW,Switzerland,22-201,2000,0.5,22,22,0,0,0,1,0,0,0,0,0,0,17,0,1
Nouhou Tolo,DF,Cameroon,25-171,1997,3.0,109,89,19,1,0,2,7,18,0,0,0,0,83,1,2
Noussair Mazraoui,DF,Morocco,25-027,1997,3.6,99,78,21,3,0,2,2,18,0,0,0,0,79,0,2
Nuno Mendes,DF,Portugal,20-175,2002,0.5,32,27,5,0,0,1,2,5,0,0,0,0,29,0,0
Néstor Araujo,DF,Mexico,31-104,1991,1.0,53,48,5,0,0,0,2,5,0,0,0,0,44,0,1
Olivier Giroud,FW,France,36-072,1986,3.5,50,45,5,0,1,1,0,0,0,0,0,0,36,0,0
Olivier Ntcham,MF,Cameroon,26-305,1996,0.3,12,12,0,0,0,0,0,0,0,0,0,0,11,0,1
Orbelín Pineda,MF,Mexico,26-262,1996,0.8,25,25,0,0,0,0,0,0,0,0,0,0,18,0,1
Osman Bukari,MF,Ghana,23-363,1998,0.7,20,19,0,0,0,0,1,0,0,0,0,0,14,1,1
Otávio,MF,Portugal,27-305,1995,2.2,127,122,5,0,1,0,5,2,0,0,0,0,98,0,2
Ousmane Dembélé,FW,France,25-210,1997,3.5,159,157,2,0,1,1,16,2,0,0,0,0,122,0,5
Pablo Sarabia,FW,Spain,30-214,1992,0.0,5,3,2,0,0,0,3,0,2,2,0,0,2,0,1
Paik Seung-ho,MF,Korea Republic,25-269,1997,0.3,27,27,0,0,0,0,0,0,0,0,0,0,20,0,0
Pape Abou Cissé,DF,Senegal,27-088,1995,1.2,37,36,1,1,0,1,0,0,0,0,0,0,28,0,0
Pape Gueye,MF,Senegal,23-321,1999,1.7,62,55,6,3,0,0,1,0,2,0,0,0,45,1,2
Pape Matar Sarr,MF,Senegal,20-088,2002,0.7,43,35,8,2,0,1,5,0,6,3,1,0,36,0,0
Papu Gómez,MF,Argentina,34-299,1988,1.2,60,56,1,0,0,1,1,0,1,0,0,0,53,3,0
Pathé Ciss,MF,Senegal,28-270,1994,1.6,57,57,0,0,1,1,0,0,0,0,0,0,46,0,1
Pau Torres,DF,Spain,25-329,1997,1.0,191,189,1,0,1,2,0,1,0,0,0,0,174,1,1
Pedri,MF,Spain,20-016,2002,4.0,434,428,6,2,3,4,2,2,0,0,0,0,393,0,9
Pedro,FW,Brazil,25-174,1997,0.7,13,10,3,0,0,0,0,0,0,0,0,0,10,0,0
Pepe,DF,Portugal,39-288,1983,4.0,295,287,4,4,0,4,1,0,0,0,0,0,243,4,0
Pervis Estupiñán,DF,Ecuador,24-324,1998,3.0,190,145,44,12,0,0,19,29,3,0,3,0,148,1,4
Phil Foden,FW,England,22-197,2000,2.9,117,103,14,0,0,3,14,1,13,7,4,1,90,0,2
Piero Hincapié,DF,Ecuador,20-336,2002,3.0,200,193,5,3,0,2,1,2,0,0,0,0,168,2,0
Pierre Højbjerg,MF,Denmark,27-128,1995,3.0,224,216,8,5,0,10,1,2,0,0,0,0,200,0,1
Pierre Kunde,MF,Cameroon,27-138,1995,1.5,49,40,9,5,0,1,4,1,3,2,1,0,38,0,2
Piotr Zieliński,MF,Poland,28-205,1994,3.6,153,128,25,8,0,3,16,0,9,3,6,0,124,0,1
Przemysław Frankowski,MF,Poland,27-243,1995,2.7,74,71,3,0,1,0,8,1,2,1,1,0,49,0,8
Rafael Leão,FW,Portugal,23-184,1999,1.0,47,47,0,0,0,1,6,0,0,0,0,0,32,0,1
Raheem Sterling,FW,England,28-003,1994,1.7,55,55,0,0,0,0,2,0,0,0,0,0,45,0,2
Ramin Rezaeian,DF,IR Iran,32-265,1990,2.0,105,85,19,3,0,3,11,16,0,0,0,0,73,1,0
Randal Kolo Muani,FW,France,24-006,1998,1.0,20,18,1,0,0,0,0,0,0,0,0,0,11,1,1
Raphaël Guerreiro,DF,Portugal,28-354,1993,3.1,185,156,28,1,0,0,13,25,2,0,2,0,156,1,2
Raphaël Varane,DF,France,29-230,1993,3.5,166,164,2,2,0,0,1,0,0,0,0,0,147,0,0
Raphinha,FW,Brazil,25-362,1996,3.5,150,131,18,4,0,1,22,3,11,6,3,0,111,1,4
Rasmus Nissen,DF,Denmark,25-153,1997,2.5,179,152,26,0,0,1,7,26,0,0,0,0,137,1,4
Raúl Jiménez,FW,Mexico,31-220,1991,0.7,32,28,3,0,0,0,2,0,0,0,0,0,20,1,2
Remo Freuler,MF,Switzerland,30-240,1992,3.6,154,146,7,5,0,0,0,2,0,0,0,0,127,1,2
Renato Steffen,FW,Switzerland,31-038,1991,0.4,15,14,1,0,0,0,0,1,0,0,0,0,13,0,0
Ricardo Horta,FW,Portugal,28-087,1994,1.3,46,42,4,1,1,0,5,1,2,2,0,0,31,0,0
Ricardo Rodríguez,DF,Switzerland,30-108,1992,4.0,229,194,35,5,1,3,12,30,0,0,0,0,164,0,7
Richarlison,FW,Brazil,25-215,1997,3.6,58,55,3,0,1,0,2,0,0,0,0,0,40,0,4
Richie Laryea,DF,Canada,27-338,1995,1.8,47,46,1,0,0,0,1,1,0,0,0,0,35,0,2
Riley McGree,FW,Australia,24-039,1998,2.9,75,73,2,0,0,0,5,0,1,0,1,0,57,0,1
Ritsu Doan,FW,Japan,24-178,1998,2.4,56,48,7,2,0,1,9,0,5,4,0,0,36,1,4
Riyadh Sharahili,MF,Saudi Arabia,29-227,1993,0.6,17,16,1,1,1,0,0,0,0,0,0,0,14,0,0
Roan Wilson,MF,Costa Rica,20-224,2002,0.0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Robert Lewandowski,FW,Poland,34-112,1988,4.0,91,90,0,0,0,1,3,0,0,0,0,0,61,1,6
Robert Skov,DF,Denmark,26-205,1996,0.2,21,20,1,0,0,0,5,1,0,0,0,0,17,0,1
Roberto Alvarado,FW,Mexico,24-095,1998,0.2,10,9,1,0,0,0,2,1,0,0,0,0,5,0,0
Rodri,DF,Spain,26-172,1996,4.3,689,678,11,8,0,3,2,3,0,0,0,0,642,0,1
Rodrigo Bentancur,MF,Uruguay,25-169,1997,2.4,160,152,8,6,0,0,2,2,0,0,0,0,136,0,2
Rodrigo De Paul,MF,Argentina,28-201,1994,4.7,450,425,22,13,2,1,9,5,4,1,0,0,376,3,10
Rodrygo,MF,Brazil,21-336,2001,2.0,113,101,12,2,1,0,9,3,7,4,0,0,91,0,1
Rogelio Funes Mori,FW,Mexico,31-281,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romain Saïss,DF,Morocco,32-260,1990,5.0,182,169,13,10,0,5,1,0,0,0,0,0,143,0,1
Romario Ibarra,MF,Ecuador,28-078,1994,0.8,14,14,0,0,0,0,0,0,0,0,0,0,10,0,0
Romelu Lukaku,FW,Belgium,29-212,1993,0.6,9,7,2,0,0,0,0,0,0,0,0,0,6,0,0
Roozbeh Cheshmi,DF,IR Iran,29-140,1993,0.6,11,10,1,1,0,0,0,0,0,0,0,0,7,0,0
Ruben Vargas,FW,Switzerland,24-128,1998,3.2,117,103,14,0,0,0,15,6,8,7,0,0,80,0,7
Rubin Colwill,MF,Wales,20-228,2002,0.1,4,4,0,0,0,1,0,0,0,0,0,0,2,0,0
Ró-Ró,DF,Qatar,32-127,1990,2.9,108,94,12,2,1,0,3,10,0,0,0,0,78,2,5
Rónald Matarrita,DF,Costa Rica,28-155,1994,0.3,29,26,3,2,0,0,3,1,0,0,0,0,18,0,2
Rúben Dias,DF,Portugal,25-211,1997,4.0,274,255,19,16,0,2,0,1,0,0,0,0,248,0,1
Rúben Neves,MF,Portugal,25-273,1997,3.0,257,251,5,5,0,4,2,0,0,0,0,0,235,1,3
Saad Al Sheeb,GK,Qatar,32-295,1990,1.0,20,13,7,3,0,0,0,0,0,0,0,0,18,0,0
Sadegh Moharrami,DF,IR Iran,26-285,1996,1.0,26,19,7,0,0,0,3,7,0,0,0,0,18,0,0
Saeid Ezatolahi,MF,IR Iran,26-071,1996,2.4,88,83,5,5,0,1,4,0,0,0,0,0,66,0,1
Saleh Al-Shehri,FW,Saudi Arabia,29-040,1993,2.5,47,39,8,0,1,0,1,0,0,0,0,0,29,0,7
Salem Al-Dawsari,MF,Saudi Arabia,31-114,1991,3.0,111,104,5,3,0,2,3,0,2,1,0,0,86,2,5
Salis Abdul Samed,MF,Ghana,22-260,2000,2.8,145,141,3,3,0,0,2,0,0,0,0,0,129,1,0
Salman Al-Faraj,MF,Saudi Arabia,33-132,1989,0.5,16,13,3,1,0,0,1,1,1,0,0,0,12,0,2
Sam Adekugbe,DF,Canada,27-329,1995,1.1,71,62,9,1,0,0,5,8,0,0,0,0,63,0,2
Saman Ghoddos,MF,IR Iran,29-096,1993,0.5,20,17,3,1,0,0,2,1,1,1,0,0,15,0,1
Sami Al-Najei,MF,Saudi Arabia,25-307,1997,0.5,21,18,3,0,0,0,5,0,3,1,2,0,13,0,0
Samuel Oum Gouet,MF,Cameroon,24-363,1997,1.1,59,59,0,0,0,1,1,0,0,0,0,0,52,0,0
Sardar Azmoun,FW,IR Iran,27-344,1995,1.4,30,27,2,0,0,0,0,0,0,0,0,0,18,1,1
Saud Abdulhamid,DF,Saudi Arabia,23-146,1999,3.0,122,94,28,2,0,1,9,26,0,0,0,0,88,0,3
Saša Lukić,MF,Serbia,26-120,1996,2.7,162,159,3,3,1,4,1,0,0,0,0,0,143,0,1
Sebastian Szymański,MF,Poland,23-215,1999,1.5,41,39,2,2,0,0,3,0,0,0,0,0,26,0,3
Sebastián Coates,DF,Uruguay,32-065,1990,2.0,93,90,3,3,0,1,0,0,0,0,0,0,76,0,0
Selim Amallah,MF,Morocco,26-026,1996,3.6,52,50,2,1,0,0,1,0,0,0,0,0,41,0,2
Serge Gnabry,FW,Germany,27-150,1995,2.9,118,112,4,0,0,0,7,4,0,0,0,0,86,2,8
Sergej Milinković-Savić,MF,Serbia,27-287,1995,2.6,120,118,2,2,2,2,1,0,0,0,0,0,87,0,4
Sergio Busquets,MF,Spain,34-148,1988,4.0,289,278,11,10,0,1,0,1,0,0,0,0,261,0,2
Sergio Rochet,GK,Uruguay,29-263,1993,3.0,78,49,29,5,0,0,0,0,0,0,0,0,54,0,0
Sergiño Dest,DF,United States,22-038,2000,3.4,200,176,24,2,0,1,9,22,0,0,0,0,172,0,5
Shaquell Moore,DF,United States,26-039,1996,0.2,21,20,1,0,0,0,0,1,0,0,0,0,14,0,0
Shogo Taniguchi,DF,Japan,31-149,1991,2.3,85,81,4,1,0,3,0,3,0,0,0,0,72,0,0
Shūichi Gonda,GK,Japan,33-283,1989,4.3,113,73,39,13,0,1,0,0,0,0,0,0,68,1,0
Silvan Widmer,DF,Switzerland,29-281,1993,2.9,169,137,31,3,0,0,2,28,0,0,0,0,127,1,4
Simon Kjær,DF,Denmark,33-260,1989,0.7,59,59,0,0,0,0,0,0,0,0,0,0,50,0,0
Sofiane Boufal,FW,Morocco,29-085,1993,3.9,92,90,1,1,0,3,5,0,0,0,0,0,71,1,1
Sofyan Amrabat,MF,Morocco,26-112,1996,5.3,190,182,5,4,0,2,0,1,0,0,0,0,158,3,2
Son Heung-min,FW,Korea Republic,30-156,1992,4.0,115,92,22,1,1,2,21,1,18,6,9,0,77,1,6
Son Jun-ho,MF,Korea Republic,30-213,1992,0.8,59,58,1,1,0,2,0,0,0,0,0,0,55,0,0
Sorba Thomas,MF,Wales,23-111,1999,0.0,4,3,1,1,0,0,1,0,0,0,0,0,3,0,0
Srđan Babić,DF,Serbia,26-233,1996,0.1,16,15,1,0,0,1,0,1,0,0,0,0,10,0,0
Stefan Mitrović,DF,Serbia,32-203,1990,0.4,21,21,0,0,0,0,0,0,0,0,0,0,18,0,0
Stephen Eustáquio,MF,Canada,25-355,1996,1.4,93,89,4,3,0,1,1,0,1,0,0,0,83,0,0
Steve Mandanda,GK,France,37-258,1985,1.0,31,19,12,3,0,0,0,0,0,0,0,0,19,0,0
Steven Berghuis,MF,Netherlands,30-357,1991,2.2,131,121,10,6,0,1,13,2,2,1,0,0,97,0,2
Steven Bergwijn,FW,Netherlands,25-064,1997,2.4,72,71,1,0,1,0,0,1,0,0,0,0,64,0,1
Steven Vitória,DF,Canada,35-334,1987,3.0,186,182,4,4,0,3,0,0,0,0,0,0,160,0,2
Strahinja Pavlović,DF,Serbia,21-201,2001,2.6,156,152,4,2,0,0,1,2,0,0,0,0,121,0,3
Sultan Al-Ghanam,DF,Saudi Arabia,28-219,1994,1.4,52,37,15,1,0,0,7,14,0,0,0,0,34,0,3
Taha Yassine Khenissi,FW,Tunisia,30-339,1992,0.3,6,6,0,0,0,0,0,0,0,0,0,0,2,0,2
Tajon Buchanan,MF,Canada,23-306,1999,2.9,89,81,8,0,0,0,8,8,0,0,0,0,61,0,4
Takefusa Kubo,FW,Japan,21-190,2001,1.0,11,11,0,0,0,0,0,0,0,0,0,0,6,0,1
Takehiro Tomiyasu,DF,Japan,24-036,1998,2.1,103,91,12,5,0,0,0,7,0,0,0,0,73,0,0
Takuma Asano,FW,Japan,28-031,1994,1.8,28,28,0,0,0,0,1,0,0,0,0,0,21,0,0
Takumi Minamino,FW,Japan,27-329,1995,0.7,22,20,2,1,0,0,3,0,0,0,0,0,14,0,2
Tarek Salman,DF,Qatar,25-006,1997,0.1,10,10,0,0,0,0,1,0,0,0,0,0,7,0,1
Tariq Lamptey,DF,Ghana,22-072,2000,1.1,34,24,10,0,0,0,3,10,0,0,0,0,21,0,1
Teun Koopmeiners,MF,Netherlands,24-286,1998,2.4,119,112,5,4,0,1,2,1,0,0,0,0,90,2,5
Theo Hernández,DF,France,25-066,1997,3.9,254,219,35,6,0,1,10,29,0,0,0,0,227,0,3
Thiago Almada,MF,Argentina,21-229,2001,0.1,13,13,0,0,0,0,0,0,0,0,0,0,13,0,0
Thiago Silva,DF,Brazil,38-080,1984,4.3,345,331,14,14,2,2,1,0,0,0,0,0,323,0,1
Thibaut Courtois,GK,Belgium,30-214,1992,3.0,123,84,39,3,0,0,0,0,0,0,0,0,108,0,0
Thilo Kehrer,DF,Germany,26-081,1996,0.8,29,24,5,0,0,0,0,5,0,0,0,0,22,0,2
Thomas Delaney,MF,Denmark,31-099,1991,0.5,29,28,1,1,0,0,1,0,0,0,0,0,24,0,1
Thomas Meunier,DF,Belgium,31-090,1991,2.3,147,130,17,2,1,2,6,15,0,0,0,0,110,0,5
Thomas Müller,FW,Germany,33-089,1989,2.2,78,73,4,0,0,0,5,3,0,0,0,0,56,1,4
Thomas Partey,MF,Ghana,29-181,1993,3.0,176,171,5,5,0,1,1,0,0,0,0,0,146,0,2
Thorgan Hazard,FW,Belgium,29-257,1993,1.2,58,43,14,1,0,0,9,6,7,3,3,0,40,1,2
Tim Ream,DF,United States,35-067,1987,4.0,276,269,7,5,0,4,0,2,0,0,0,0,245,0,2
Timothy Castagne,DF,Belgium,27-006,1995,3.0,202,183,19,4,0,0,3,15,0,0,0,0,176,0,4
Timothy Weah,FW,United States,22-292,2000,3.5,108,107,1,0,0,1,8,1,0,0,0,0,90,0,4
Toby Alderweireld,DF,Belgium,33-284,1989,3.0,273,270,3,3,2,2,2,0,0,0,0,0,248,0,2
Trent Alexander-Arnold,DF,England,24-065,1998,0.4,23,20,2,1,0,0,0,1,0,0,0,0,21,1,0
Tyler Adams,MF,United States,23-300,1999,4.0,271,255,14,11,1,4,2,3,0,0,0,0,241,2,4
Unai Simón,GK,Spain,25-183,1997,4.3,160,136,24,2,0,0,0,0,0,0,0,0,150,0,0
Uriel Antuna,FW,Mexico,25-112,1997,0.9,20,19,1,0,0,0,7,1,0,0,0,0,12,0,3
Vanja Milinković-Savić,GK,Serbia,25-294,1997,3.0,125,97,28,7,0,0,0,0,0,0,0,0,90,0,0
Victor Nelsson,DF,Denmark,24-058,1998,1.0,74,71,3,3,0,3,0,0,0,0,0,0,69,0,0
Vincent Aboubakar,FW,Cameroon,30-323,1992,1.6,31,31,0,0,1,0,0,0,0,0,0,0,20,0,1
Vincent Janssen,FW,Netherlands,28-179,1994,1.0,20,19,1,0,0,0,0,0,0,0,0,0,16,0,1
Vinicius Júnior,FW,Brazil,22-152,2000,3.3,90,88,2,0,0,0,12,2,0,0,0,0,68,0,4
Virgil van Dijk,DF,Netherlands,31-156,1991,5.3,356,336,19,19,1,4,0,0,0,0,0,0,311,1,0
Vitinha,MF,Portugal,22-301,2000,1.3,108,104,3,1,0,1,2,1,1,0,1,0,100,1,0
Wahbi Khazri,FW,Tunisia,31-306,1991,0.9,20,16,3,1,0,0,2,0,2,2,0,0,13,1,1
Wajdi Kechrida,DF,Tunisia,27-036,1995,1.2,69,48,21,0,0,0,5,21,0,0,0,0,44,0,6
Walid Cheddira,FW,Morocco,24-323,1998,0.7,8,8,0,0,0,0,0,0,0,0,0,0,4,0,1
Walker Zimmerman,DF,United States,29-206,1993,3.1,244,239,4,3,0,0,0,1,0,0,0,0,217,1,3
Wataru Endo,MF,Japan,29-305,1993,3.4,192,188,4,3,1,0,2,0,0,0,0,0,155,0,7
Wayne Hennessey,GK,Wales,35-321,1987,1.9,66,46,20,4,0,1,0,0,0,0,0,0,50,0,0
Weston McKennie,MF,United States,24-105,1998,3.0,153,141,11,2,0,2,1,9,0,0,0,0,117,1,2
William Carvalho,MF,Portugal,30-248,1992,2.4,170,164,5,5,0,0,0,0,0,0,0,0,156,1,1
William Saliba,DF,France,21-262,2001,0.3,37,37,0,0,0,0,0,0,0,0,0,0,37,0,0
Wojciech Szczęsny,GK,Poland,32-237,1990,4.0,142,90,52,19,0,3,0,0,0,0,0,0,84,0,0
Wout Weghorst,FW,Netherlands,30-126,1992,0.7,15,15,0,0,0,0,0,0,0,0,0,0,9,0,0
Wéverton,GK,Brazil,34-363,1987,0.1,5,2,3,1,0,0,0,0,0,0,0,0,3,0,0
Xavi Simons,FW,Netherlands,19-234,2003,0.1,10,10,0,0,0,0,0,0,0,0,0,0,6,0,1
Xherdan Shaqiri,FW,Switzerland,31-062,1991,2.5,104,90,13,2,0,0,15,1,9,8,1,0,67,1,5
Yahya Attiat Allah,DF,Morocco,27-284,1995,2.0,61,43,18,1,0,0,3,17,0,0,0,0,38,0,2
Yahya Jabrane,MF,Morocco,31-176,1991,0.2,,,,,,,0,,,,,,,,
Yann Sommer,GK,Switzerland,33-359,1988,3.0,118,97,21,2,0,0,0,0,0,0,0,0,108,0,0
Yannick Carrasco,FW,Belgium,29-098,1993,1.3,46,43,3,1,1,0,2,2,0,0,0,0,39,0,0
Yasser Al-Shahrani,DF,Saudi Arabia,30-200,1992,1.0,29,22,7,1,0,0,1,6,0,0,0,0,13,0,1
Yassine Bounou,GK,Morocco,31-250,1991,4.3,133,84,47,12,0,0,0,0,0,0,0,0,85,2,0
Yassine Meriah,DF,Tunisia,29-162,1993,3.0,171,163,8,7,2,1,2,1,0,0,0,0,139,0,1
Yeltsin Tejeda,MF,Costa Rica,30-269,1992,3.0,99,97,1,1,0,2,0,0,0,0,0,0,78,1,1
Youri Tielemans,MF,Belgium,25-218,1997,1.1,64,60,4,1,0,0,1,2,0,0,0,0,53,0,0
Youssef En-Nesyri,FW,Morocco,25-193,1997,4.3,62,55,5,0,0,0,0,0,0,0,0,0,37,2,0
Youssef Msakni,MF,Tunisia,32-044,1990,1.9,69,61,8,4,2,3,2,3,1,0,0,0,50,0,3
Youssouf Fofana,MF,France,23-335,1999,1.2,68,66,2,2,0,0,0,0,0,0,0,0,60,0,2
Youssouf Sabaly,DF,Senegal,29-281,1993,4.0,219,191,27,0,3,1,7,27,0,0,0,0,189,1,1
Youssoufa Moukoko,FW,Germany,18-021,2004,0.0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0
Youstin Salas,DF,Costa Rica,26-177,1996,0.5,19,15,4,0,0,0,0,4,0,0,0,0,15,0,0
Yuki Soma,FW,Japan,25-289,1997,0.9,19,11,8,2,0,0,6,3,3,3,0,0,11,0,1
Yunus Musah,MF,United States,20-012,2002,3.8,182,179,3,1,0,1,8,2,0,0,0,0,151,0,7
Yuto Nagatomo,MF,Japan,36-090,1986,2.3,109,88,17,3,0,0,6,14,0,0,0,0,78,4,1
Zakaria Aboukhlal,MF,Morocco,22-296,2000,0.6,11,10,1,0,0,0,1,1,0,0,0,0,5,0,0
Álvaro Morata,FW,Spain,30-049,1992,2.1,41,40,1,0,1,1,0,0,0,0,0,0,28,0,1
Álvaro Zamora,MF,Costa Rica,20-277,2002,0.3,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Ángel Di María,MF,Argentina,34-300,1988,2.5,136,125,11,0,0,1,24,1,10,4,2,0,102,0,7
Ángelo Preciado,DF,Ecuador,24-296,1998,2.9,129,98,30,2,0,0,8,28,0,0,0,0,94,1,0
Éder Militão,DF,Brazil,24-327,1998,3.9,277,252,25,6,0,4,3,19,0,0,0,0,251,0,1
Óscar Duarte,DF,Costa Rica,33-191,1989,3.0,98,89,8,4,0,1,0,3,0,0,0,0,68,1,2
İlkay Gündoğan,MF,Germany,32-048,1990,2.1,168,164,4,4,1,1,1,0,0,0,0,0,150,0,4
